第52週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,預計生產,0,,,,0,IDS,0,0,
,,,,,,,,,198,,,,,,NOT ENOUGH,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),
2024-12-24 00:00:00,,A,,,,,,,,,,,,,,0,0,
2024-12-24 00:00:00,,A,,,,,,,,,,,,,,0,0,
2024-12-24 00:00:00,,A,93N125010200,AG-M9046-60110,M9046-60110,2024-12-31 00:00:00,2024-12-20 00:00:00,15,5,36,76,88,,,,380,440,AG-M9046-60
2024-12-24 00:00:00,,A,93E124120048,93-F0016-00GE,Redflex CCU NK6 HALO Computer,2024-12-26 00:00:00,2024-12-20 00:00:00,20,20,27,70,150,,,,1400,3000,93-F0016-00
2024-12-24 00:00:00,,A,93N125010245,AG-M9019A-CFG001A5,M9019A_A5,2025-02-27 00:00:00,2024-12-18 00:00:00,10,10,,,76.3,,,,0,763,AG-M9019A-C
2024-12-24 00:00:00,,A,93E124120057,93-F0019-100C,Redflex NK7 Halo Computer 12MP 95%,2024-12-27 00:00:00,2024-12-18 00:00:00,100,15,,,126,,,,0,1890,93-F0019-10
2024-12-24 00:00:00,,A,93E124120057,93-F0019-100C,Redflex NK7 Halo Computer 12MP 95%,2024-12-27 00:00:00,2024-12-18 00:00:00,100,40,27,75.9,0,,,,3036,0,93-F0019-10
2024-12-24 00:00:00,,A,,,,,,,,,,,,,,0,0,
2024-12-24 00:00:00,,A,,,,,,,,,,,,,,0,0,
12/24 (二) 加工4 主線15  (8740) 測試支援4人,,,,,,,,,,90,,,,10999,當日總工時,4816,6093,
,,,,,,,,,,90,,,,10999,IPC,4816,6093,
,,,,,,,,,預計生產,0,,,,0,IDS,0,0,
,,,,,,,,,90,,,,,,NOT ENOUGH,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),
2024-12-25 00:00:00,,A,93N125010246,AG-M9019A-CFG001A5,M9019A_A5,2025-02-27 00:00:00,2024-12-18 00:00:00,10,10,27,75,76.3,,,,750,763,AG-M9019A-C
2024-12-25 00:00:00,,A,93E124120057,93-F0019-100C,Redflex NK7 Halo Computer 12MP 95%,2024-12-27 00:00:00,2024-12-18 00:00:00,100,25,,,126,,,,0,3150,93-F0019-10
2024-12-25 00:00:00,,A,93E124120057,93-F0019-100C,Redflex NK7 Halo Computer 12MP 95%,2024-12-27 00:00:00,2024-12-18 00:00:00,100,20,27,75.9,,,,,1518,0,93-F0019-10
2024-12-25 00:00:00,投過,E,93E124120243,93-F0120-000E,GM-070/AGS,2025-01-20 00:00:00,2024-12-13 00:00:00,90,45,27,17,,無塵室(TP貼合),,45個黑色鐵框不良延一天上線,765,0,93-F0120-00
2024-12-25 00:00:00,投過,A,93E124090224,93-41055-1A0E,MXE-231/M8G/6COM/8DIO-ISO,2025-01-13 00:00:00,2024-12-20 00:00:00,10,1,21,5,20,,,1+N,5,20,93-41055-1A
2024-12-25 00:00:00,,D,93E124120315,IPC-100N5-W002,RK410W-W13E8-E43_IW002,2025-01-07 00:00:00,2024-12-24 00:00:00,1,1,21,4,54,,,,4,54,IPC-100N5-W
2024-12-25 00:00:00,,A,93N124120071,93-F0107-0020,ADi-SMXE-211/Everi,2024-12-30 00:00:00,2024-12-19 00:00:00,90,30,21,5,30,,,,150,900,93-F0107-00
2024-12-25 00:00:00,,E,93R124120066,93-P7000-B210,"IM-215 W/adapter,HDMI,USB cable",2024-12-30 00:00:00,2024-12-20 00:00:00,3,3,24,0,12.5,,,,0,37.5,93-P7000-B2
2024-12-25 00:00:00,,D,93E125020051,93-41053-3A1E,MVP-6247/EM16G/MS2TB/3xS256G/Win10,2025-01-07 00:00:00,2024-12-24 00:00:00,1,1,24,8,36,,,,8,36,93-41053-3A
2024-12-25 00:00:00,,D,93E124120330,IPC-00001-29G,ADLINK_RK410FS_EBP-13E2_500W機箱,2025-01-13 00:00:00,2024-12-24 00:00:00,2,2,21,4,54,,,,8,108,IPC-00001-2
2024-12-25 00:00:00,,A,,,,,,,,,,,,,,0,0,
2024-12-25 00:00:00,,A,,,,,,,,,,,,,,0,0,
2024-12-25 00:00:00,,A,,,,,,,,,,,,,,0,0,
2024-12-25 00:00:00,,A,,,,,,,,,,,,,,0,0,
12/25 (三)  加工4 主線15  (8740) 測試支援4人,,,,,,,,,,213,,,,8489.5,當日總工時,3208,5068.5,
,,,,,,,,,,162,,,,7636,IPC,2443,5031,
,,,,,,,,,預計生產,51,,,,853.5,IDS,765,37.5,
,,,,,,,,,138,,,,,,NOT ENOUGH,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),
2024-12-26 00:00:00,,A,,,,,,,,,,,,,,0,0,
2024-12-26 00:00:00,,A,,,,,,,,,,,,,,0,0,
,,D,93E124110174,IPC-101N5-T005,RK410CW-13E2-E43_IT005,2025-03-28 00:00:00,2024-01-09 00:00:00,4,1,21,4,54,,,,4,54,IPC-101N5-T
,投過,D,93E124110280,IPC-101N5-T005,RK410CW-13E2-E43_IT005,2025-01-09 00:00:00,2024-12-06 00:00:00,2,1,21,4,54,,,,4,54,IPC-101N5-T
2024-12-26 00:00:00,,A,93E124120128,93-F0091-004E,Capsule Axon 2 – 1-port,2025-01-03 00:00:00,2024-12-13 00:00:00,240,89,18,0,9,,,1/3要入庫,0,801,93-F0091-00
2024-12-26 00:00:00,,A,93E124120057,93-F0019-100C,Redflex NK7 Halo Computer 12MP 95%,2024-12-27 00:00:00,2024-12-18 00:00:00,100,45,,,126,,,,0,5670,93-F0019-10
2024-12-26 00:00:00,,A,93E124120288,93-F0019-100C,Redflex NK7 Halo Computer 12MP 95%,2024-12-30 00:00:00,2024-12-23 00:00:00,45,45,27,75.9,,,,,3415.5000000000005,0,93-F0019-10
2024-12-26 00:00:00,投過,E,93E124120243,93-F0120-000E,GM-070/AGS,2025-01-20 00:00:00,2024-12-13 00:00:00,90,44,,,23,無塵室(TP貼合),,45個黑色鐵框不良延一天上線,0,1012,93-F0120-00
2024-12-26 00:00:00,投過,A,93E125010009,93-F0089-911E,EMP-510-i5-BD2,2024-12-25 00:00:00,2024-12-18 00:00:00,10,1,18,0,28,,,缺板卡1pcs,0,28,93-F0089-91
2024-12-26 00:00:00,,A,93E125010213,93-D2102-020E,"MLC-M109, Biomedica",1900-01-12 00:00:00,2024-12-19 00:00:00,12,11,27,17,23,,,1+N,187,253,93-D2102-02
2024-12-26 00:00:00,,A,93E124110297,TPC-41037-013S,TPC-41037-013S(MXE-5502),2025-01-03 00:00:00,2024-12-25 00:00:00,6,6,18,0,30,,,,0,180,TPC-41037-0
2024-12-26 00:00:00,,D,93R124120100,93-45R03-1010,"ROScube-X, w/GMSL2, RQX-59G",2025-01-03 00:00:00,2024-12-24 00:00:00,2,2,,,5,,,,0,10,93-45R03-10
2024-12-26 00:00:00,,E,93N125010341,93-P2100-2A10,STC2-10WP-E3950-AL,2024-12-30 00:00:00,2024-12-25 00:00:00,1,1,27,6,12.5,,,,6,12.5,93-P2100-2A
2024-12-26 00:00:00,,E,,,,,,,,,,,,,,0,0,
12/26  (四)    加工4 主線15  (8740) 測試支援4人,,,,,,,,,,177,,,,11868,當日總工時,3616.5000000000005,8074.5,
,,,,,,,,,,150,,,,10810.5,IPC,3610.5000000000005,7050,
,,,,,,,,,預計生產,27,,,,1057.5,IDS,6,1024.5,
,,,,,,,,,246,,,,,,NOT ENOUGH,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),
2024-12-27 00:00:00,,D,RMA124120012,AG-M9505-66102,M9505-66102,2024-12-31 00:00:00,,1,1,,,30,,,,0,30,AG-M9505-66
2024-12-27 00:00:00,,D,RMA124120011,AG-M9010-66101,M9010-66101,2024-12-31 00:00:00,,1,1,,,30,,,,,30,
2024-12-27 00:00:00,,A,93E124110177,93-F0013-108E,Redflex Universal HALO PC,2024-12-30 00:00:00,2024-12-23 00:00:00,40,40,21,5,63.8,,,,200,2552,93-F0013-10
2024-12-27 00:00:00,,A,93E124120128,93-F0091-004E,Capsule Axon 2 – 1-port,2025-01-03 00:00:00,2024-12-13 00:00:00,240,90,18,0,9,,,1/3要入庫,0,810,93-F0091-00
2024-12-27 00:00:00,,D,93E124110273,TPC-41044-0490,TPC-41044-0490 (MVP-6122-1E),2025-01-07 00:00:00,2024-12-25 00:00:00,3,3,18,0,30,,,,0,90,TPC-41044-0
2024-12-27 00:00:00,,D,93R124120088,93-70428-1030,PXES-2590/CN,2024-12-30 00:00:00,2024-12-17 00:00:00,3,3,,,10,,,,0,30,93-70428-10
2024-12-27 00:00:00,投過,E,93E124120243,93-F0120-000E,GM-070/AGS,2025-01-20 00:00:00,2024-12-13 00:00:00,90,1,,,23,無塵室(TP貼合),,45個黑色鐵框不良延一天上線,0,23,93-F0120-00
2024-12-27 00:00:00,,A,93N124120376,93-41053-6120,MVP-6229/M64G,2025-01-06 00:00:00,2024-12-25 00:00:00,8,8,24,8,23,,,,64,184,93-41053-61
2024-12-27 00:00:00,,D,93E124120331,IPC-100N7-U001,RK410W-13E4-E47_IU001,2025-01-09 00:00:00,2024-12-26 00:00:00,1,1,21,4,54,,,,4,54,IPC-100N7-U
2024-12-27 00:00:00,,D,93E124110289,IPC-100N7-U001,RK410W-13E4-E47_IU001,2025-01-09 00:00:00,2024-12-26 00:00:00,1,1,21,4,54,,,,4,54,IPC-100N7-U
2024-12-27 00:00:00,,B,93N125010146,93-45108-2010,DLAP-411-Orin w/OOB,2025-01-07 00:00:00,2024-12-26 00:00:00,2,2,21,4,20,,,,8,40,93-45108-20
2024-12-27 00:00:00,,D,93N124120254,93-70428-1030,PXES-2590/CN,2025-01-07 00:00:00,2024-12-26 00:00:00,3,3,21,35,40,,,,105,120,93-70428-10
2024-12-27 00:00:00,,A,93E124120288,93-F0019-100C,Redflex NK7 Halo Computer 12MP 95%,2024-12-30 00:00:00,2024-12-23 00:00:00,45,45,,,126,,,,0,5670,93-F0019-10
2024-12-27 00:00:00,,D,93E124120337,TPC-41053-0130,TPC-41053-0130(MVP-6249),2025-01-08 00:00:00,2024-12-16 00:00:00,1,1,18,0,30,,,,0,30,TPC-41053-0
2024-12-27 00:00:00,,A,93R124120113,IPC-1170M-0022,RK620W-M45H_I0022,,,5,5,,,5,,,,,25,
2024-12-27 00:00:00,,D,93E124120332,IPC-0030T-0003,RK609W-M47H_I0003,2025-01-06 00:00:00,2024-12-13 00:00:00,1,1,21,4,54,,,,4,54,IPC-0030T-0
2024-12-27 00:00:00,,D,93N124120414,93-45R03-1010,"ROScube-X, w/GMSL2, RQX-59G",2025-01-06 00:00:00,2024-12-26 00:00:00,2,2,21,10,15,,,,20,30,93-45R03-10
12/27  (五)  加工4 主線15  (8740) 測試支援4人,,,,,,,,,,225,,,,10460,當日總工時,409,9826,
,,,,,,,,,,225,,,,10437,IPC,409,9803,
,,,,,,,,,預計生產,0,,,,23,IDS,0,23,
,,,,,,,,,454,,,,,,NOT ENOUGH,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),
2024-12-28 00:00:00,,D,RMA124120015,AG-M9018-66201,M9018-66201,2024-01-06 00:00:00,,1,1,,,30,,,,0,30,
2024-12-28 00:00:00,,D,93N125020084,93-41035-0080-10,MXC-6401D/M4G,2025-01-09 00:00:00,2024-12-23 00:00:00,4,4,21,8,30,,,,32,120,93-41035-00
2024-12-28 00:00:00,,A,93N124120071,93-F0107-0020,ADi-SMXE-211/Everi,2024-12-30 00:00:00,2024-12-19 00:00:00,90,30,21,5,30,,,,150,900,93-F0107-00
2024-12-28 00:00:00,投過,A,93N124120063,93-F0064-015C,"R4600-2A3,CC",2025-01-09 00:00:00,2024-12-18 00:00:00,10,1,27,5,65,,,85-65522-004C AN31*1,5,65,93-F0064-01
2024-12-28 00:00:00,,A,93N125010046,93-70423-5040,PXIS-2719A,2025-01-10 00:00:00,2024-12-20 00:00:00,15,15,24,20,60,,,,300,900,93-70423-50
2024-12-28 00:00:00,,A,93N125010047,93-D1207-1010,WM200/US,2025-01-09 00:00:00,2024-12-26 00:00:00,64,64,24,12,36,,,,768,2304,93-D1207-10
2024-12-28 00:00:00,,A,93E125010034,93-F0067-201E,Seatex ISP2020,2024-12-31 00:00:00,2024-12-26 00:00:00,70,40,24,8,53,,,,320,2120,93-F0067-20
2024-12-28 00:00:00,,D,93E124110063,93-F0067-201E,Seatex ISP2020,2025-01-15 00:00:00,2024-11-15 00:00:00,50,1,24,8,53,,,,8,53,93-F0067-20
12/28 (六) 加工4 主線15  (8740) 測試支援4人,,,,,,,,,預計生產,783,,,,8858,當日總工時,1583,6492,
,,,,,,,,,683,,,,,,日班當日工時,,0,
,,,,,,,,,,,,,,,晚班當日工時,,,
,,,,,,,,,,,,,,,NOT ENOUGH,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),
2024-12-29 00:00:00,,A,,,,,,,,,,,,,,0,0,
2024-12-29 00:00:00,,B,,,,,,,,,,,,,,0,0,
2024-12-29 00:00:00,,B,,,,,,,,,,,,,,0,0,
2024-12-29 00:00:00,,B,,,,,,,,,,,,,,0,0,
12/29 (日) ,,,,,,,,,預計生產,,,,,0,當日總工時,0,0,
,,,,,,,,,0,,,,,,日班當日工時,,,
,,,,,,,,,,,,,,,晚班當日工時,,,
,,,,,,,,,,,,,,,NOT ENOUGH,,,
