Save,Message,Type,User Status,銷售文件類型,訂單,物料,物料說明,項目數量,收貨數量,基本開始日期,基本完成日期,上線日,系統料齊日,料齊日(生管),TEST上線日,逾期代碼,逾期說明,工單備註
,,MO,ZRTC,93N1,93N125040609,93-F0114-0030,Verint Edge NVR w/24 ports,296,296,2025-06-25 00:00:00,2025-06-30 00:00:00,2025-06-25 00:00:00,2025-06-13 00:00:00,2025-06-02 00:00:00,,2.生產異常,機箱不良,
,,MO,ZRTC,93N1,93N125040604,93-F0114-0130,Verint Edge NVR w/o PoE ports,294,294,2025-05-10 00:00:00,2025-05-20 00:00:00,2025-05-10 00:00:00,2025-05-16 00:00:00,2025-05-09 00:00:00,,,,
,,MO,ZRTC,93N1,93N124100631,93-F0114-0120,Verint Edge NVR w/o PoE ports,290,290,2024-12-19 00:00:00,2024-12-24 00:00:00,2024-12-19 00:00:00,2024-12-23 00:00:00,2024-12-18 00:00:00,,,,DEV-0052992
,,MO,ZRTC,93E1,93E124120126,93-F0091-004E,Capsule Axon 2 – 1-port,288,288,2024-11-19 00:00:00,2024-12-10 00:00:00,2024-11-19 00:00:00,2024-12-03 00:00:00,2024-11-15 00:00:00,,9.其它,"11/28入庫→11/29入庫→PQC需抽驗電測80台,12/4入庫 80台需電測→12/10入庫",12/11，59-66942-1010
,,MO,ZRTC,93N1,93N125060588,93-F0089-2020,EMP-300-CQ (6305E),287,287,2025-07-10 00:00:00,2025-07-21 00:00:00,2025-07-10 00:00:00,,2025-07-04 00:00:00,,,,6/13(3/21入)，59-66046-2010，系*60/天
,,MO,ZRTC,93E1,93E124040261,93-F0091-103E,Capsule Axon 2 – 4-port,270,270,2024-05-06 00:00:00,2024-05-17 00:00:00,2024-05-06 00:00:00,2024-05-10 00:00:00,2024-05-02 00:00:00,,3.材料跳票,37-10247-0010-B0 船運Delay,DEV-0050642，6/12，59-66942-0010
,,MO,ZRTC,93E1,93E124050010,93-F0091-103E,Capsule Axon 2 – 4-port,270,270,2024-05-13 00:00:00,2024-05-23 00:00:00,2024-05-13 00:00:00,2024-05-17 00:00:00,2024-05-08 00:00:00,,3.材料跳票,37-10247-0010-B0 船運Delay,DEV-0050642，6/12，59-66942-0010
,,MO,ZRTC,93E1,93E124030301,93-F0091-103E,Capsule Axon 2 – 4-port,270,270,2024-04-08 00:00:00,2024-04-17 00:00:00,2024-04-08 00:00:00,2024-04-12 00:00:00,2024-04-01 00:00:00,,7.產能因子,測試delay(4/15->4/17),DEV-0050334，5/13，59-66942-0010
,,MO,ZRTC,93R1,93R125030155,93-P7000-B020,IM-215,269,269,2025-04-25 00:00:00,2025-05-19 00:00:00,2025-04-25 00:00:00,2025-03-28 00:00:00,2025-03-26 00:00:00,,9.其它,產能給GM-270,ECN-003131，換driver board
,,MO,ZRTC,93E1,93E124050003,93-F0091-103E,Capsule Axon 2 – 4-port,267,267,2024-04-16 00:00:00,2024-04-26 00:00:00,2024-04-16 00:00:00,,2024-04-11 00:00:00,,7.產能因子,一天測*70,DEV-0050334，5/13，59-66942-0010
,,MO,ZRTC,93R1,93R123120094,93-F0091-003E,Capsule Axon 2 – 1-port,256,256,2023-12-19 00:00:00,2023-12-27 00:00:00,2023-12-19 00:00:00,,,,,,DEV-0049293，異常-重工
,,MO,ZRTC,93R1,93R124060128,93-F0091-003E,Capsule Axon 2 – 1-port,253,253,2024-06-25 00:00:00,2024-07-12 00:00:00,2024-06-25 00:00:00,2024-06-24 00:00:00,,,9.其它,,(1)DEV-0051003，DEV-0051243 庫存
,,MO,ZRTC,93E1,93E124090006,93-F0091-003E,Capsule Axon 2 – 1-port,252,252,2024-09-13 00:00:00,2024-10-02 00:00:00,2024-09-13 00:00:00,2024-09-23 00:00:00,2024-09-05 00:00:00,,6.客需變更,改測試SOP+換包材,DEV-0051748，9/11，59-66942-1010
,,MO,ZRTC,93E1,93E124080013,93-F0091-003E,Capsule Axon 2 – 1-port,252,252,2024-08-14 00:00:00,2024-08-22 00:00:00,2024-08-14 00:00:00,2024-08-13 00:00:00,2024-08-07 00:00:00,,6.客需變更,客人改測試SOP:MCN-002725,DEV-0051709，8/13，59-66942-1010
,,MO,ZRTC,93E1,93E124060004,93-F0091-003E,Capsule Axon 2 – 1-port,252,252,2024-05-20 00:00:00,2024-05-30 00:00:00,2024-05-20 00:00:00,2024-05-30 00:00:00,2024-05-10 00:00:00,,4.製程銜接,(5/27->5/30),DEV-0050642，6/12，59-66942-1010
,,MO,ZRTC,93E1,93E124040008,93-F0091-003E,Capsule Axon 2 – 1-port,252,252,2024-03-27 00:00:00,2024-04-10 00:00:00,2024-03-27 00:00:00,2024-03-25 00:00:00,2024-03-25 00:00:00,,,,DEV-0050138，4/11，59-66942-1010
,,MO,ZRTC,93E1,93E124070005,93-F0091-003E,Capsule Axon 2 – 1-port,252,252,2024-07-04 00:00:00,2024-07-17 00:00:00,2024-07-04 00:00:00,2024-07-10 00:00:00,2024-06-17 00:00:00,,7.產能因子,,7/11，59-66942-1010
,,MO,ZRTC,93N1,93N125040603,93-F0114-0130,Verint Edge NVR w/o PoE ports,252,252,2025-05-06 00:00:00,2025-05-14 00:00:00,2025-05-06 00:00:00,2025-05-09 00:00:00,2025-05-07 00:00:00,,3.材料跳票,,
,,MO,ZRTC,93R1,93R125050121,93-F0120-0020,GM-070/AGS,250,250,2025-05-29 00:00:00,2025-06-04 00:00:00,2025-05-29 00:00:00,2025-05-28 00:00:00,2025-05-23 00:00:00,,,,ECN-003297 + ECN003299
,,MO,ZRTC,93N1,93N124050008,93-F0091-003E,Capsule Axon 2 – 1-port,250,250,2024-04-22 00:00:00,2024-05-03 00:00:00,2024-04-22 00:00:00,2024-05-03 00:00:00,2024-04-18 00:00:00,,7.產能因子,一天測*70,DEV-0050334，5/13，59-66942-1010
,,MO,ZRTC,93N1,93N125040242,93-F0114-0120,Verint Edge NVR w/o PoE ports,250,250,2025-04-11 00:00:00,2025-04-15 00:00:00,2025-04-11 00:00:00,2025-04-17 00:00:00,2025-04-09 00:00:00,,3.材料跳票,32-00200-3000-A0陸廠缺工delay|,風扇跳排4/10
,,MO,ZRTC,93N1,93N125040008,93-F0114-0120,Verint Edge NVR w/o PoE ports,250,250,2025-04-16 00:00:00,2025-05-30 00:00:00,2025-04-16 00:00:00,2025-04-30 00:00:00,2025-04-15 00:00:00,,3.材料跳票,32-00200-3000-A0陸廠缺工delay HOLD,
,,MO,ZRTC,93N1,93N125040241,93-F0114-0120,Verint Edge NVR w/o PoE ports,250,250,2025-04-14 00:00:00,2025-04-23 00:00:00,2025-04-14 00:00:00,2025-04-17 00:00:00,2025-04-16 00:00:00,,3.材料跳票,32-00200-3000-A0陸廠缺工delay,
,,MO,ZRTC,93N1,93N125050486,93-F0093-0030,Zoetis Vetscan HUB-US,245,245,2025-06-17 00:00:00,2025-06-26 00:00:00,2025-06-17 00:00:00,2025-06-23 00:00:00,2025-06-16 00:00:00,,6.客需變更,與93-F0093-107E互換,4/30(12/20入)，系*48/天
,,MO,ZRTC,93N1,93N124110478,93-F0114-0120,Verint Edge NVR w/o PoE ports,244,244,2024-12-20 00:00:00,2024-12-24 00:00:00,2024-12-20 00:00:00,2024-12-25 00:00:00,2024-12-20 00:00:00,,,,DEV-0052992
,,MO,ZRTC,93R1,93R125010040,93-F0093-404E,Zoetis Vetscan HUB-EU,240,240,2025-01-09 00:00:00,2025-02-07 00:00:00,2025-01-09 00:00:00,2025-01-20 00:00:00,2025-01-08 00:00:00,,1.維修,,DEV-0053354，(9)庫存sorting
,,MO,ZRTC,93E1,93E125060133,93-F0093-107E,Zoetis Vetscan HUB-AUS,240,240,2025-06-30 00:00:00,2025-07-09 00:00:00,2025-06-30 00:00:00,2025-07-04 00:00:00,2025-06-20 00:00:00,,2.生產異常,序號無法上傳Server,6/3
,,MO,ZRTC,93E1,93E125060269,93-F0093-107E,Zoetis Vetscan HUB-AUS,240,240,2025-06-03 00:00:00,2025-06-12 00:00:00,2025-06-03 00:00:00,2025-06-12 00:00:00,2025-06-02 00:00:00,,6.客需變更,與93-F0093-107E互換,6/3
,,MO,ZRTC,93E1,93E125030030,93-F0091-004E,Capsule Axon 2 – 1-port,240,240,2025-03-06 00:00:00,2025-06-27 00:00:00,2025-03-06 00:00:00,2025-06-11 00:00:00,2025-03-05 00:00:00,,4.製程銜接,"新的60需PE驗證,客戶確認程式影響生產",6/18，
,,MO,ZRTC,93E1,93E125010068,93-F0093-404E,Zoetis Vetscan HUB-EU,240,240,2024-12-02 00:00:00,2024-12-20 00:00:00,2024-12-02 00:00:00,2024-12-06 00:00:00,2024-11-20 00:00:00,,6.客需變更,DCN改軟體,12/31->1/29，85-A1021-0510，系*48/天
,,MO,ZRTC,93N1,93N124100065,93-F0093-0010,Zoetis Vetscan HUB-US,240,240,2024-10-14 00:00:00,2024-10-18 00:00:00,2024-10-14 00:00:00,2024-10-16 00:00:00,2024-09-24 00:00:00,,7.產能因子,工時調整 10/18入239台待維修*1 待PM確認,10/16*960，85-A1021-0510
,,MO,ZRTC,93N1,93N124100067,93-F0093-0010,Zoetis Vetscan HUB-US,240,240,2024-10-21 00:00:00,2024-10-22 00:00:00,2024-10-21 00:00:00,2024-10-22 00:00:00,2024-10-01 00:00:00,,1.維修,"10/23入庫 待維修1台→2PCS不良檢修中,1PCS待領34-51132-0000-A0Zoetis Display",10/16*960，85-A1021-0510
,,MO,ZRTC,93E1,93E124120128,93-F0091-004E,Capsule Axon 2 – 1-port,240,240,2024-12-23 00:00:00,2025-01-03 00:00:00,2024-12-23 00:00:00,,2024-12-13 00:00:00,,5.工程變更,客人改測具,1/8，59-66942-1010
,,MO,ZRTC,93E1,93E124100001,93-F0091-003E,Capsule Axon 2 – 1-port,222,222,2024-10-07 00:00:00,2024-10-15 00:00:00,2024-10-07 00:00:00,2024-10-18 00:00:00,2024-09-27 00:00:00,,2.生產異常,測試FAIL停線,DEV-0051862(拆單:93E124100001+93E124100234)
Save,,MO,ZCHG,93E1,93E125020007,93-F0091-004E,Capsule Axon 2 – 1-port,240,219,2025-07-04 00:00:00,2025-07-28 00:00:00,2025-07-04 00:00:00,2025-07-23 00:00:00,2025-06-26 00:00:00,,5.工程變更,"改FW,客戶確認程式影響生產",已發料，6/18，59-66942-1010
,,MO,ZRTC,93E1,93E124110187,93-F0091-004E,Capsule Axon 2 – 1-port,216,216,2024-11-04 00:00:00,2024-11-11 00:00:00,2024-11-04 00:00:00,2024-10-30 00:00:00,2024-10-25 00:00:00,,,,11/13，59-66942-1010
,,MO,ZRTC,93R1,93R125070024,93-98002-111E,ADi-SA3X-CL-EABF/AGS,212,212,2025-07-01 00:00:00,2025-07-04 00:00:00,2025-07-01 00:00:00,2025-07-04 00:00:00,,,,,(1)DCN-064873，add 47-30541-0000-A0
,,MO,ZRTC,93E1,93E125030128,93-F0116-100E,GM-270SG/KGI,210,210,2025-04-19 00:00:00,2025-04-30 00:00:00,2025-04-19 00:00:00,2025-04-24 00:00:00,2025-03-20 00:00:00,,6.客需變更,,3/18，55-A9000-0210+59-7B501-0040
,,MO,ZRTC,93N1,93N125040605,93-F0114-0130,Verint Edge NVR w/o PoE ports,210,210,2025-05-12 00:00:00,2025-05-22 00:00:00,2025-05-12 00:00:00,2025-05-19 00:00:00,2025-05-10 00:00:00,,,,
,,MO,ZRTC,93N1,93N125060340,93-41050-A250,Dell Embedded Gateway EGW-3200-0KR44F,205,205,2025-06-23 00:00:00,2025-07-02 00:00:00,2025-06-23 00:00:00,2025-06-25 00:00:00,2025-06-20 00:00:00,,6.客需變更,DELL As-Build 進版 影響 DPN/VendorID/LocID,6/19(3/7入)，55-49072-0010+59-44835-AC50
,,MO,ZRTC,93N1,93N124120230,93-F0085-0030,iw.brain Jetson Xavier System,202,202,2024-11-18 00:00:00,2024-11-25 00:00:00,2024-11-18 00:00:00,2024-11-21 00:00:00,2024-11-12 00:00:00,,4.製程銜接,11/28入庫→11/29入庫,"DEV-0052801 DEV-0052463,10/9*PD-N*KEEP,[40pcs/daily],#BMW,59-77B04-0010"
,,MO,ZRTC,93N1,93N125040608,93-F0114-0030,Verint Edge NVR w/24 ports,202,202,2025-05-22 00:00:00,2025-06-09 00:00:00,2025-05-22 00:00:00,2025-06-04 00:00:00,2025-05-22 00:00:00,,,,1+N
,,MO,ZRTC,93N1,93N125040545,93-F0093-0030,Zoetis Vetscan HUB-US,200,200,2025-05-19 00:00:00,2025-05-24 00:00:00,2025-05-19 00:00:00,2025-05-27 00:00:00,2025-05-13 00:00:00,,2.生產異常,測到第36台有焦味PE分析板卡為材料異常,DEV-0054135，4/30(12/20入)，系*48/天
,,MO,ZRTC,93N1,93N124100634,93-F0114-0120,Verint Edge NVR w/o PoE ports,200,200,2025-02-03 00:00:00,2025-02-05 00:00:00,2025-02-03 00:00:00,,2025-01-07 00:00:00,,1.維修,POWER SYNC FAIL 5C-56002-1010不良 1/20到貨,DEV-0053244
,,MO,ZRTC,93N1,93N124100624,93-F0114-0020,Verint Edge NVR w/24 ports,200,200,2024-12-04 00:00:00,2025-01-10 00:00:00,2024-12-04 00:00:00,2025-01-09 00:00:00,2024-11-25 00:00:00,,2.生產異常,製損機箱刮傷*3 機箱不良未生產*6,DEV-0052802
,,MO,ZRTC,93N1,93N124050294,93-99738-1070,DAFC SS,200,200,2024-09-12 00:00:00,2024-11-27 00:00:00,2024-09-12 00:00:00,,2024-09-11 00:00:00,,5.工程變更,"85異常,客戶要求PE驗證Fail 取消排程,待通知生產,調整到客戶實際需求'",DEV-0051318+DEV-0051237 WIP 6PCS轉93R124100120
,,MO,ZRTC,93N1,93N125030448,93-41055-2020,MXE-231/M16G/256G/EVERI,200,200,2025-03-13 00:00:00,2025-03-25 00:00:00,2025-03-13 00:00:00,2025-03-17 00:00:00,2025-03-12 00:00:00,,7.產能因子,待包裝,"收單:2024/11/27,59-44842-0010+SH:58-99610-0010"
,,MO,ZRTC,93E1,93E123120360,IPC-00001-38I0,"SonoSite M2 Dock 2.0,materials packing",200,200,2023-12-15 00:00:00,2023-12-20 00:00:00,2023-12-15 00:00:00,2023-12-21 00:00:00,,,,,"2023/12/15,消化呆滯料"
,,MO,ZRTC,93E1,93E125020008,93-F0116-100E,GM-270SG/KGI,200,200,2025-02-15 00:00:00,2025-02-24 00:00:00,2025-02-15 00:00:00,2025-02-22 00:00:00,2025-02-12 00:00:00,,7.產能因子,,2/18，55-A9000-0210+59-7B501-0040
,,MO,ZRTC,93N1,93N125010135,93-P8000-H510,GM-270SG/IS,200,200,2025-03-06 00:00:00,2025-03-13 00:00:00,2025-03-06 00:00:00,,2025-03-05 00:00:00,,7.產能因子,29-92270-Y030 來料不良,1/24，59-7B501-0040
,,MO,ZRTC,93E1,93E125010055,93-F0116-000E,GM-270S/KGI,200,200,2025-01-13 00:00:00,2025-01-20 00:00:00,2025-01-13 00:00:00,2025-01-21 00:00:00,2024-01-08 00:00:00,,3.材料跳票,34-35393-0000-A012/19->12/27,1/16(10/17入)，55-A9000-0210+59-7B501-0040
,,MO,ZRTC,93N1,93N124100632,93-F0114-0120,Verint Edge NVR w/o PoE ports,200,200,2025-01-06 00:00:00,2025-01-09 00:00:00,2025-01-06 00:00:00,2025-01-09 00:00:00,2025-01-03 00:00:00,,,,
,,MO,ZRTC,93N1,93N125010361,93-F0114-0120,Verint Edge NVR w/o PoE ports,200,200,2025-01-04 00:00:00,2025-01-09 00:00:00,2025-01-04 00:00:00,2025-01-06 00:00:00,2025-01-08 00:00:00,,2.生產異常,機箱不良,
,,MO,ZRTC,93N1,93N125040463,93-41055-2030,MXE-231/M16G/256G/EVERI,198,198,2025-04-21 00:00:00,2025-05-21 00:00:00,2025-04-21 00:00:00,2025-05-20 00:00:00,2025-04-17 00:00:00,,,,"2/10*PD-N*KEEP,收單:2025/02/04,59-44842-0010+SH:58-99610-0020"
,,MO,ZRTC,93R1,93R125020122,93-41055-2020,MXE-231/M16G/256G/EVERI,198,198,2025-03-03 00:00:00,2025-03-06 00:00:00,2025-03-03 00:00:00,,,,,,(1)ECN-003079
,,MO,ZRTC,93R1,93R125040059,93-F0091-004E,Capsule Axon 2 – 1-port,196,196,2025-06-23 00:00:00,2025-07-09 00:00:00,2025-06-23 00:00:00,2025-06-13 00:00:00,2025-06-13 00:00:00,,2.生產異常,,6/18，因螺絲柱斷裂問題，客戶暫停出貨。AY91->AN73*196
,,MO,ZRTC,93N1,93N125040338,93-F0114-0120,Verint Edge NVR w/o PoE ports,196,196,2025-05-02 00:00:00,2025-05-08 00:00:00,2025-05-02 00:00:00,2025-05-06 00:00:00,2025-04-30 00:00:00,,3.材料跳票,32-00200-3000-A0陸廠缺工delay,
,,MO,ZRTC,93E1,93E125030246,93-F0130-000E,GM-270/Everi,195,195,2025-03-24 00:00:00,2025-03-31 00:00:00,2025-03-24 00:00:00,2025-04-01 00:00:00,,,2.生產異常,29-92270-Y050  Touch目前累積5片不良,(11/19入)，59-7B501-020E
,,MO,ZRTC,93N1,93N124100064,93-F0093-0010,Zoetis Vetscan HUB-US,192,192,2024-09-30 00:00:00,2024-10-02 00:00:00,2024-09-30 00:00:00,2024-10-04 00:00:00,2024-09-05 00:00:00,,7.產能因子,臺車限制,10/16*960，85-A1021-0510
,,MO,ZRTC,93N1,93N124100183,93-F0093-0010,Zoetis Vetscan HUB-US,192,192,2024-09-10 00:00:00,2024-10-01 00:00:00,2024-09-10 00:00:00,2024-09-16 00:00:00,2024-09-02 00:00:00,,7.產能因子,臺車限制,10/16*960，85-A1021-0510
,,MO,ZRTC,93N1,93N125010032,93-D1207-0050,WM200,192,192,2025-01-13 00:00:00,2025-01-24 00:00:00,2025-01-13 00:00:00,2025-01-18 00:00:00,2025-01-10 00:00:00,,7.產能因子,,1/31->1/24，64/天
,,MO,ZRTC,93N1,93N125010353,93-D1207-0050,WM200,192,192,2025-01-16 00:00:00,2025-01-24 00:00:00,2025-01-16 00:00:00,2025-01-21 00:00:00,2025-01-15 00:00:00,,,,1/31->1/24，64/天
,,MO,ZRTC,93E1,93E125020062,93-F0130-100E,GM-270G/Everi,191,191,2025-05-05 00:00:00,2025-05-19 00:00:00,2025-05-05 00:00:00,2025-05-09 00:00:00,,,5.工程變更,機構件需重工,2/12(11/19入)，59-7B501-020E
,,MO,ZRTC,93N1,93N124120340,93-F0114-0120,Verint Edge NVR w/o PoE ports,190,190,2024-12-16 00:00:00,2024-12-26 00:00:00,2024-12-16 00:00:00,,2024-12-16 00:00:00,,1.維修,188台12/19入庫 待維修*2,DEV-0052992
,,MO,ZRTC,93R1,93R125050008,93-F0130-000E,GM-270/Everi,190,190,2025-04-29 00:00:00,2025-05-13 00:00:00,2025-04-29 00:00:00,2025-05-02 00:00:00,2025-04-29 00:00:00,,5.工程變更,,換34-35628-0000-A0
,,MO,ZRTC,93N1,93N125020380,93-41055-2010,MXE-231/M16G/256G/EVERI,190,190,2025-02-10 00:00:00,2025-02-19 00:00:00,2025-02-10 00:00:00,2025-02-15 00:00:00,2025-02-06 00:00:00,,,,"收單:2024/11/06,59-44842-0010+SH:58-99610-0010"
,,MO,ZRTC,93E1,93E124110213,93-45103-0D0E,DLAP-211-Orin NX 16GB- Sanritz,190,190,2024-11-25 00:00:00,2024-12-12 00:00:00,2024-11-25 00:00:00,2024-11-28 00:00:00,2024-11-22 00:00:00,,4.製程銜接,12/12入庫 2台不良,"[93-45103-0420>0D0E]收單:2024/08/07,59-77B05-0060"
,,MO,ZRTC,93N1,93N125010417,93-F0114-0120,Verint Edge NVR w/o PoE ports,190,190,2025-01-21 00:00:00,2025-02-04 00:00:00,2025-01-21 00:00:00,2025-01-23 00:00:00,2025-01-20 00:00:00,,7.產能因子,外觀包裝Delay,
,,MO,ZRTC,93N1,93N125010456,93-F0114-0120,Verint Edge NVR w/o PoE ports,190,190,2025-01-22 00:00:00,2025-02-04 00:00:00,2025-01-22 00:00:00,2025-01-24 00:00:00,2025-01-21 00:00:00,,7.產能因子,待外觀,
,,MO,ZRTC,93N1,93N125040061,93-F0114-0120,Verint Edge NVR w/o PoE ports,190,190,2025-03-05 00:00:00,2025-03-08 00:00:00,2025-03-05 00:00:00,2025-03-05 00:00:00,2025-03-04 00:00:00,,,,
,,MO,ZRTC,93N1,93N125060468,93-F0120-0020,GM-070/AGS,180,180,2025-06-09 00:00:00,2025-06-13 00:00:00,2025-06-09 00:00:00,2025-09-11 00:00:00,2025-06-12 00:00:00,,,,RD發ECN導入power adapter & power cord並進階93 P
,,MO,ZRTC,93E1,93E125030312,93-F0091-204E,Capsule Axon 2 – 4-port wired,180,180,2025-03-18 00:00:00,2025-07-01 00:00:00,2025-03-18 00:00:00,2025-06-23 00:00:00,2025-03-13 00:00:00,,2.生產異常,測試不穩,6/18，59-66942-2010
,,MO,ZRTC,93E1,93E125030008,93-F0091-104E,Capsule Axon 2 – 4-port,180,180,2025-03-10 00:00:00,2025-07-02 00:00:00,2025-03-10 00:00:00,2025-06-11 00:00:00,2025-03-06 00:00:00,,5.工程變更,"改FW,客戶確認程式影響生產",6/18，59-66942-0010
,,MO,ZRTC,93E1,93E124120127,93-F0091-104E,Capsule Axon 2 – 4-port,180,180,2024-11-22 00:00:00,2024-12-10 00:00:00,2024-11-22 00:00:00,2024-11-21 00:00:00,2024-11-21 00:00:00,,4.製程銜接,待電測12/5入庫,12/11，59-66942-0010
,,MO,ZRTC,93N1,93N125010457,93-F0114-0120,Verint Edge NVR w/o PoE ports,180,180,2025-01-23 00:00:00,2025-02-07 00:00:00,2025-01-23 00:00:00,2025-02-05 00:00:00,2025-01-21 00:00:00,,9.其它,機箱品質異常Sorting,
,,MO,ZRTC,93N1,93N125010458,93-F0114-0120,Verint Edge NVR w/o PoE ports,179,179,2025-01-24 00:00:00,2025-02-07 00:00:00,2025-01-24 00:00:00,2025-01-23 00:00:00,2025-01-21 00:00:00,,9.其它,機箱品質異常Sorting,DEV-0053399
