Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,2025-07-01 00:00:00,Unnamed: 24,2025-07-02 00:00:00,Unnamed: 26,2025-07-03 00:00:00,Unnamed: 28,2025-07-04 00:00:00,Unnamed: 30,2025-07-05 00:00:00,Unnamed: 32,2025-07-06 00:00:00,Unnamed: 34,2025-07-07 00:00:00,Unnamed: 36,2025-07-08 00:00:00,Unnamed: 38,2025-07-09 00:00:00,Unnamed: 40,2025-07-10 00:00:00,Unnamed: 42,2025-07-11 00:00:00,Unnamed: 44,2025-07-12 00:00:00,Unnamed: 46,2025-07-13 00:00:00,Unnamed: 48,2025-07-14 00:00:00,Unnamed: 50,2025-07-15 00:00:00,Unnamed: 52,2025-07-16 00:00:00,Unnamed: 54,2025-07-17 00:00:00,Unnamed: 56,2025-07-18 00:00:00,Unnamed: 58,2025-07-19 00:00:00,Unnamed: 60,2025-07-20 00:00:00,Unnamed: 62,2025-07-21 00:00:00,Unnamed: 64,2025-07-22 00:00:00,Unnamed: 66,2025-07-23 00:00:00,Unnamed: 68,2025-07-24 00:00:00,Unnamed: 70,2025-07-25 00:00:00,Unnamed: 72,2025-07-26 00:00:00,Unnamed: 74,2025-07-27 00:00:00,Unnamed: 76,2025-07-28 00:00:00,Unnamed: 78,2025-07-29 00:00:00,Unnamed: 80,2025-07-30 00:00:00,Unnamed: 82,2025-07-31 00:00:00,Unnamed: 84,2025-08-01 00:00:00,Unnamed: 86
,,BGA,59R125070048,59-A1029-1010,"MLB-3100, Q670 for 13th processor",17,2025-07-04 00:00:00,2025-07-07 00:00:00,,2025-07-04 00:00:00,,,"(B*3)(5),EV-Lillian#8704,庫存改機 For訂單59-A1029-0020>59-A1029-1010依重工指導書執行,標準測試",,,180,,,,,,,,,,,,,,,,,,,2,360,5,900,6,1080,4,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BGA,91R125070049,91-7C004-2100,MXM-A4500-16GB-80W/Aetina,3,2025-07-04 00:00:00,2025-07-11 00:00:00,,2025-07-04 00:00:00,,,(B*2)(5)EV-Maggie，請依重工指導書內容作業，91-7C004-2120->2100,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A55,一般重工,55R125070066,55-72601-0110,Express-CF-i7-8850H/mDP/ETC,1,2025-07-03 00:00:00,2025-07-04 00:00:00,,2025-07-03 00:00:00,,,"(A)(1),COM-Clareyl.Huang ,C4,更換版次標籤,Change egineering verision lable,PN-191562",,,10,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,55R125070068,55-72512-5110,LEC-iMX8MP-Q-N-2G-32G-BW-CT,1,2025-07-04 00:00:00,2025-07-07 00:00:00,,2025-07-04 00:00:00,,,"(A)(1),COM-Claire.Chang ,C4,更換版次標籤,Change egineering verision lable,PN-175982",,,10,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BGA,59R125070046,59-48104-0090,UNP CM1-BT1-E3815,1,2025-07-01 00:00:00,2025-07-02 00:00:00,,2025-07-01 00:00:00,,,"(B*1),(3)ADLINK,掃貨驗證Component Verification,WI_25063000172,品號:74-41334-0FR0,位置: U27",,,60,,,,,,,,,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BGA,59R125070051,59-A1023-1010,XA182-ANISE CPU board Kit,1,2025-07-02 00:00:00,2025-07-03 00:00:00,2025-07-07 00:00:00,2025-07-02 00:00:00,,,"(B*1),(3)ADLINK,掃貨驗證Component Verification,WI_25062800032,品號:71-02850-00Z0,位置: U106",,,60,,,,,,,,,,,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,跳線,59N125050496,59-77805-0040,UNP MiniBase-10R,8,2025-07-07 00:00:00,2025-07-07 00:00:00,,2025-07-07 00:00:00,,,59-77805-0040+91,,,10,,,,,,,,,,,,,,,,,,,8,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A59,BGA,59R125070078,59-7C003-0050,EGX-MXM-T1000/Adlink logo,1,2025-07-04 00:00:00,2025-07-07 00:00:00,,2025-07-04 00:00:00,,,"(B*1),(3)ADLINK,掃貨驗證Component Verification,WI_25070100044,品號:72-80325-00Z0,位置: M1",,,60,,,,,,,,,,,,,,,,,,,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BGA,59R125070054,59-72131-2470,Express-CF-i3-8100H/ARIS,6,2025-07-03 00:00:00,2025-07-10 00:00:00,,2025-07-02 00:00:00,,,"(B*1)(9),online不良,不良功能U1短路,需更換71-00370-01Z0料件更換位置:U1,標準測試",,,60,,,,,,,,,,,,,,,,,,,,,,,,,3,180,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,無治具-7/15到,一般重工,59N125070232,55-77526-001E,ECAR-OLY-MS,1,2025-07-03 00:00:00,7/4>7/15,7/9>7/18,2025-07-03 00:00:00,無治具,,"(A)(4),COM-Clare#8758,重工Connector料件由BU提供,依重工指導書執行,重工後入AN77倉BU領出",,,10,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,無治具-7/15到,一般重工,55R125070057,55-79429-000E,OLY-DP Test Board,1,2025-07-03 00:00:00,7/4>7/15,7/9>7/18,2025-07-03 00:00:00,無治具,,"(A)(4),COM-Clare#8758,重工Connector料件由BU提供,依重工指導書執行,重工後入AN77倉BU領出",,,10,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,55R125070062,55-44A01-0010,ADM-IM10/iMX8MP/2GB LPDDR4/32GB eMMC,1,2025-07-03 00:00:00,2025-07-10 00:00:00,,2025-07-03 00:00:00,,,"(A)(1),NCA-chloe ,C4,更換版次標籤,Change egineering verision lable,PN-183229",,,10,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,55R125070071,55-63547-003E,M9538A carrier board,1,2025-07-04 00:00:00,2025-07-11 00:00:00,,2025-07-04 00:00:00,,,"(A)(4),IST-Emma#8010,SSD connector不良的問題,依重工指導書執行,重工後入AN77倉BU領出",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,水洗,55R125070081,55-77513-0030,ECAR-EVE-CF,200,2025-07-08 00:00:00,2025-07-08 00:00:00,,2025-07-08 00:00:00,,,"(A)(8)TPMC異常: 水洗製程 接外包水洗PO: 3170004999入庫AN77,依水洗重工指導書重工,重工完入庫AY55 接組測包",,,30,,,,,,,,,,,,,,,,,,,,,40,1200,40,1200,40,1200,40,1200,,,,,40,1200,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BGA,85R125070093,85-31422-A340,cPCI-6530BLV/5700E/M8-8,1,2025-07-09 00:00:00,2025-07-11 00:00:00,,2025-07-09 00:00:00,,,"(B*1),(3)ADLINK,掃貨驗證Component Verification,WI_25070700061,品號:71-08624-03Z0,位置: U34",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BGA,55R125070091,55-72501-0220Z,LEC-iMX64-C5-2G-4G-ER,2,2025-07-09 00:00:00,2025-07-11 00:00:00,,2025-07-09 00:00:00,,,"(B*1)(2),COM-Claire#8882,DEV-0054912驗證EOL替代料,依重工指導書重工,重工後入AN77倉BU領取",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,2,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BGA,55R125070092,55-72506-1090,LEC-AL-E3940-4G-32G-ER,2,2025-07-09 00:00:00,2025-07-11 00:00:00,,2025-07-09 00:00:00,,,"(B*1)(2),COM-Claire#8882,DEV-0054911,驗證EOL替代料,料件BU提供,依重工指導書執行,重工後入AN77倉BU領取",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,2,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BGA,55R125070090,55-63647-008E,Peacock CB,2,2025-07-10 00:00:00,2025-07-14 00:00:00,,2025-07-10 00:00:00,,,"(B*1)(1),IST-Emma#8010,DCN-064895 ,依重工指導書執行",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,水洗,55R125070082,55-77513-0030,ECAR-EVE-CF,100,2025-07-14 00:00:00,2025-07-15 00:00:00,,2025-07-14 00:00:00,,,"(A)(8)TPMC異常: 水洗製程 接外包水洗PO: 3170004997入AN77,依水洗重工指導書重工,重工完入庫AY55 接組測包",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,20,200,,,,,40,,40,400,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,55R125070094,55-A1021-7230,"SP-AL,E3930,PCAP,9-36V/MLC Lite",7,2025-07-08 00:00:00,2025-07-14 00:00:00,,2025-07-08 00:00:00,,,(A)(1)PCC-Agnes，DCN-056119,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,跳線,59N125050497,59-77105-0030,Express-BASE7,6,2025-07-15 00:00:00,2025-07-15 00:00:00,,2025-07-15 00:00:00,,,59-77105-0030+91,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,外單位支援,一般重工,91R125070135,91-77522-107E,ASH-CECAR-ARIS-CF-i3-8100H,100,2025-07-17 00:00:00,2025-07-18 00:00:00,2025-07-19 00:00:00,2025-07-17 00:00:00,,,"(A)(4),MPM-Joanne,依重工指導書執行更換61-00000-120M>61-E0017-0090位置:U22,標準組裝+測試",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,跳線,59N125070232,59-77805-0040,UNP MiniBase-10R,6,2025-07-22 00:00:00,2025-07-23 00:00:00,,2025-07-22 00:00:00,,,59-77805-0040+91,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,3,30,,,,,,,,,,,,,,,,
,,一般重工,85R125070126,85-38010-000E,PXIe-9908,6,2025-07-16 00:00:00,2025-07-21 00:00:00,,2025-07-16 00:00:00,,,"(A)(1),IST-Elsa#8606,DCN-065163,For訂單,依重工指導書執行,組裝+標準測試",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,60,,,,,,,,,,,,,,,,,,,,,,
,,水洗,55R125070083,55-77513-0030,ECAR-EVE-CF,120,2025-07-21 00:00:00,2025-07-22 00:00:00,,2025-07-21 00:00:00,,,"(A)(8)TPMC異常: 水洗製程 接外包水洗PO: 3170004997入庫AN77,依水洗重工指導書重工,重工完入庫AY55 接組測包",,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,690,20,600,20,600,17,510,40,1200,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,
,,一般重工,55R125070099,55-65649-002E,ADM-Q55LX Main Board,20,2025-07-10 00:00:00,7/10->7/16,7/11完成1pcs,2025-07-10 00:00:00,,,"(A)(8),TPMC異常,connecto反向,依重工指導書執行",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,0,20,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BGA,91R125060103,91-72137-5030,Express-ID7-D-1746TER-4DIMM,8,2025-07-17 00:00:00,2025-07-18 00:00:00,2025-07-21 00:00:00,2025-07-17 00:00:00,,,"(B*1)(5)LC-Karen,庫存改機,FOR訂單,COM改機,91-72137-3010->91-72137-5030,依重工指導書重工, 標準測試",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,59R125070100,59-7A104-1C30,AmITX-SL-G-H110/Data Modul,8,2025-07-11 00:00:00,2025-07-11 00:00:00,2025-07-17 00:00:00,2025-07-11 00:00:00,,,"(B*1)(5),LC-Peter,呆滯庫存改機消耗For訂單需求,依重工指導書執行,標準測試",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,40,4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,55R125070120,55-A3049-0010,PCIex16 riser card,1,2025-07-15 00:00:00,2025-07-28 00:00:00,,2025-07-15 00:00:00,,,"(A)(1),LC-Karen,C4,更換版次標籤,Change egineering verision lable,PN-193033",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,
,,一般重工,85R125070124,85-77A07-4110,I-Pi LEC-EL-6425E-4G-64G,35,2025-07-16 00:00:00,2025-07-28 00:00:00,,2025-07-16 00:00:00,,,"(A)(1),COM- Claire#8882,C4,更換版次標籤,Change egineering verision lable,PN-193287",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,175,,,,,,,,
,,一般重工,55R125070130,55-37234-000E,VPX3-RXMXM-RL2,18,2025-07-21 00:00:00,2025-07-22 00:00:00,2025-07-24 00:00:00,2025-07-18 00:00:00,,,"(A)(8),TPMC,SMT生產異常，物料61-72008-4000座標位置: CN11空焊,轉入AN77進行重工,完工後請入RY05倉 ",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,180,,,,,,,,,,,,,,,,,,,,
,,一般重工,55R125070133,55-77526-000E,ECAR-OLY-MS,1,2025-07-18 00:00:00,2025-07-21 00:00:00,2025-07-22 00:00:00,2025-07-18 00:00:00,,,"(A)(4),COM-Clare#8758,重工Connector 料件BU提供,依工指導書執行,完工後入AN77倉BU領取",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,
,外單位支援,一般重工,85R125070132,85-77522-107E,ASH-CECAR-ARIS-CF-i3-8100H,109,2025-07-17 00:00:00,2025-07-18 00:00:00,2025-07-19 00:00:00,2025-07-17 00:00:00,,,"(A)(4),MPM-Joanne,依重工指導書執行更換61-00000-120M>61-E0017-0090位置:U22,標準組裝+測試",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,外單位支援,一般重工,91R125070138,91-77522-107E,ASH-CECAR-ARIS-CF-i3-8100H,450,2025-07-17 00:00:00,2025-07-18 00:00:00,,2025-07-17 00:00:00,,,"(A)(4),MPM-Joanne,DEV-0055013,依重工指導書執行更換61-00000-120M>61-E0017-0090位置:U22,標準組裝+測試",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,1500,,,150,750,,,,,,,,,,,,,,,,,,,,,,
,外單位支援,一般重工,85R125070136,85-77522-107E,ASH-CECAR-ARIS-CF-i3-8100H,251,2025-07-17 00:00:00,2025-07-21 00:00:00,,2025-07-17 00:00:00,,,"(A)(4),MPM-Joanne,DEV-0055013,依重工指導書執行更換61-00000-120M>61-E0017-0090位置:U22,標準組裝+測試",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,750,101,505,,,,,,,,,,,,,,,,,,,,
,,一般重工,55R125070047,55-66038-0040Z,Itron SBR Carrier Board,200,2025-07-18 00:00:00,2025-07-21 00:00:00,7/24完工100  7/25完工100,2025-07-18 00:00:00,,,"(A)(2),COM-Winnie#8645,DEV-0054802 For訂單重工wifi module,依重工指導書執行,材料由BU提供",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,50,500,50,500,50,500,50,500,,,,,,,,,,,,
,,加工別,55E125070179,55-65531-106E,CSA-7211 MB C627,17,2025-07-22 00:00:00,2025-07-23 00:00:00,工時15分,2025-07-21 00:00:00,,,"收單:20250527,55+59+58",,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,255,,0,,0,,,,0,,,,,,,,,,,,
,,水洗,55R125070084,55-77513-0030,ECAR-EVE-CF,72,2025-07-16 00:00:00,2025-07-23 00:00:00,,2025-07-16 00:00:00,,,"(A)(8)TPMC異常: 水洗製程 接外包水洗PO: 3170004999入庫AN77,依水洗重工指導書重工,重工完入庫AY55 接組測包",,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,0,,0,24,720,24,720,24,720,,,,,,,,0,,0,,,,
,,BGA,RMA125070002,91-72306-237S,t2nanoX-AL-E3930-2G,10,2025-07-18 00:00:00,2025-07-25 00:00:00,一片4顆BGA,2025-07-18 00:00:00,,,"(B*4)(6)RMA-R2506067,Tyrion#8979,依重工指導書執行,只需做標準的功能測試不做ETT,請使用原包材包裝",,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,720,2,480,,,3,720,,0,,,,0,,0
,,BGA,85R125070128,85-67003-001E,ASH-RL-G-Konami/G7400TE,1,2025-07-17 00:00:00,2025-07-21 00:00:00,2025-07-28 00:00:00,2025-07-16 00:00:00,,,"(B*1),(4) EV-Maggie,依重工指導書重工,標準測試",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,,,,,,,,,,,,,,,,,,,,,,
,,BGA,59R125070161,59-73102-0070,COM-HPC-ALT,1,2025-07-23 00:00:00,2025-07-26 00:00:00,,2025-07-23 00:00:00,,,"(B*1),(3)ADLINK,掃貨驗證Component Verification,WI_25072100224,品號:71-52202-00Z0,位置: U20",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,,,,,,,,,,,,
,外單位支援,一般重工,91R125070137,91-77522-107E,ASH-CECAR-ARIS-CF-i3-8100H,435,2025-07-17 00:00:00,2025-07-22 00:00:00,,2025-07-17 00:00:00,,,"(A)(4),MPM-Joanne,DEV-0055013,依重工指導書執行更換61-00000-120M>61-E0017-0090位置:U22,標準組裝+測試",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,1000,235,1175,,,,,,,,,,,,,,,,,,
,外單位支援,一般重工,85R125070140,85-77522-107E,ASH-CECAR-ARIS-CF-i3-8100H,250,2025-07-22 00:00:00,2025-07-23 00:00:00,,,,,"85E125060423,(A)(4),MPM-Joanne,依重工指導書執行更換61-00000-120M>61-E0017-0090位置:U22,標準組裝+測試",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,325,185,925,,,,,,,,,,,,,,,,
,,水洗,55R125070162,55-77513-0030,ECAR-EVE-CF,5,2025-07-23 00:00:00,2025-07-28 00:00:00,2025-07-31 00:00:00,2025-07-23 00:00:00,,,"(A)(8)TPMC異常: 水洗製程 接外包水洗 入庫AN77,依水洗重工指導書重工,重工完入庫",,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,150,,,,,,,,
,,一般重工,91R125070111,91-72137-2030,Express-ID7-D-1732TE-4DIMM,4,2025-07-15 00:00:00,2025-08-01 00:00:00,,2025-07-15 00:00:00,,,"(A)(5),LC-Karen,庫存改機,91-72137-7030>91-72137-2030,For訂單,依重工指導書執行,標準測試",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,4,40
,,一般重工,91R125070112,91-72137-8020,Express-ID7-D-1715TER-4DIMM,4,2025-07-15 00:00:00,2025-08-01 00:00:00,,2025-07-15 00:00:00,,,"(A)(5),LC-Karen,庫存改機,91-72137-301S>91-72137-8020,For訂單,依重工指導書執行,標準測試",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,4,40
